"ID","URN","dtDateCreated","txtPAN","Count_ctr","Risk_Change_Ctr","TTR_Breach","TTR_Breach_Date","CTR_Breach","CTR_Breach_Date","Date_updated","txtCurrent_Risk","txtNew_Risk","Cust_ID","Cust_Reason"
1,0,2021-03-25 00:00:00,,6,N,,,,,2022-01-14 00:00:00,Low,,,Changed due to internal Reason
2,"8,200,205,122,807,007",2021-03-25 00:00:00,,1,N,,,,,2021-07-21 00:00:00,Low,,,Changed due to internal Reason
3,"8,201,204,082,204,072",2021-03-25 00:00:00,,2,N,,,,,2022-01-14 00:00:00,Low,,,Changed due to internal Reason
4,"8,190,611,060,953,152",2021-03-25 00:00:00,,2,N,,,,,2021-12-15 00:00:00,Low,,,Changed due to internal Reason
5,"8,190,702,045,318,320",2021-03-25 00:00:00,,1,N,,,,,,Low,,,Changed due to internal Reason
6,"8,190,607,090,116,927",2021-03-25 00:00:00,,1,N,,,,,,Low,,,Changed due to internal Reason
7,"8,181,122,120,238,783",2021-03-25 00:00:00,,7,N,,,,,2022-01-14 00:00:00,Low,,,Changed due to internal Reason
8,"8,200,227,090,041,609",2021-03-25 00:00:00,,6,N,,,,,2021-12-16 00:00:00,Low,,,Changed due to internal Reason
9,"8,190,208,035,247,255",2021-03-25 00:00:00,,7,N,,,,,2022-01-14 00:00:00,Low,,,Changed due to internal Reason
10,"8,201,130,104,928,762",2021-03-25 00:00:00,,7,N,,,,,2022-01-14 00:00:00,Low,,,Changed due to internal Reason
11,"8,191,204,145,609,749",2021-03-25 00:00:00,,1,N,,,,,,Low,,,Changed due to internal Reason
12,"8,201,228,054,659,161",2021-03-25 00:00:00,,1,N,,,,,2022-01-14 00:00:00,Low,,,Changed due to internal Reason
13,"8,210,203,140,056,796",2021-03-25 00:00:00,,2,N,,,,,2021-12-15 00:00:00,Low,,,Changed due to internal Reason
14,"8,201,218,124,227,107",2021-03-25 00:00:00,,1,N,,,,,2021-11-10 00:00:00,Low,,,Changed due to internal Reason
15,"8,191,113,110,304,311",2021-03-25 00:00:00,,1,N,,,,,2021-07-21 00:00:00,Low,,,Changed due to internal Reason
16,"8,201,215,090,708,490",2021-03-25 00:00:00,,7,N,,,,,2022-01-14 00:00:00,Low,,,Changed due to internal Reason
17,"8,190,330,113,853,430",2021-03-25 00:00:00,,3,N,,,,,2021-12-16 00:00:00,Low,,,Changed due to internal Reason
18,"8,180,804,072,930,373",2021-03-25 00:00:00,,5,N,,,,,2022-01-14 00:00:00,Low,,,Changed due to internal Reason
19,"8,190,425,065,038,079",2021-03-25 00:00:00,,7,N,,,,,2022-01-14 00:00:00,Low,,,Changed due to internal Reason
20,"8,190,527,052,214,686",2021-03-25 00:00:00,,1,N,,,,,2021-07-21 00:00:00,Low,,,Changed due to internal Reason
21,"8,191,228,072,028,748",2021-03-25 00:00:00,,3,N,,,,,2022-01-14 00:00:00,Low,,,Changed due to internal Reason
22,"8,200,225,153,417,815",2021-03-25 00:00:00,,5,N,,,,,2021-12-15 00:00:00,Low,,,Changed due to internal Reason
23,"8,180,702,044,626,220",2021-03-25 00:00:00,,1,N,,,,,2021-09-30 00:00:00,Low,,,Changed due to internal Reason
24,"8,181,004,152,344,202",2021-03-25 00:00:00,,7,N,,,,,2022-01-14 00:00:00,Low,,,Changed due to internal Reason
25,"8,191,015,105,849,673",2021-03-25 00:00:00,,1,N,,,,,2021-09-30 00:00:00,Low,,,Changed due to internal Reason
26,"8,190,916,073,550,642",2021-03-25 00:00:00,,1,N,,,,,,Low,,,Changed due to internal Reason
27,"8,200,309,033,919,644",2021-03-25 00:00:00,,1,N,,,,,,Low,,,Changed due to internal Reason
